Comment,Designator,Footprint,LCSC
GND,J2,SolderPad_5x5,
POS,J1,SolderPad_5x5,
100nf,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
I2C,J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
M3,H3,MountingHole_3.2mm_M3,
M3,H2,MountingHole_3.2mm_M3,
ATmega328P-P,U1,DIP-28_W7.62mm,
SW_Push_Dual,SW1,SW_PUSH_6mm_H7.3mm,
16MHz,Y1,Crystal_HC49-4H_Vertical,
100nf,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
M3,H1,MountingHole_3.2mm_M3,
10uf,C3,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,
1308,U4,SOT-23W,
1uf,C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
MCP3208,U3,DIP-16_W7.62mm,
1308,U5,SOT-23W,
22pf,C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
22pf,C6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10uf,C9,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,
L7805,U2,TO-220-3_Horizontal_TabDown,
1308,U6,SOT-23W,
100nf,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
330nf,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
PGM,J3,PinHeader_1x05_P2.54mm_Vertical,
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
M3,H4,MountingHole_3.2mm_M3,
